tweet.id,tweet.created_at,tweet.text,tweet.user.name,tweet.user.screen_name,tweet.user.location,tweet.user.id,tweet.user.followers_count,tweet.user.friends_count,tweet.user.favourites_count,tweet.user.description
1256600349953179648,2020-05-02 15:04:04,RT @FeliciaKnaul: Interactive data visualization website is live! What a pleasure &amp; honor to collaborate with this team on the Observatory…,UM Public Health Sciences,UMPublicHealth,"Miami, FL",799277013089579008,151,194,399,The official Twitter of University of Miami Miller School of Medicine Public Health Science Graduate Programs! #UMiami #UMDPHS #PublicHealth
1256600348506144772,2020-05-02 15:04:04,RT @CecilsJustice: #COVID-19: How #Ecosystems and #Human Health Intersect https://t.co/5Nuy5q10tf,INFO.2JGP,INFORMACION2JGP,,706936969289269248,190,171,31626,Todo es a título personal
1256600347755327488,2020-05-02 15:04:04,"RT @maria_m_town: My mom has been working the #COVID unit at her hospital since mid-March, and she has not been tested once. Not once.",Mia,LimestonAtelier,present,593313663,1252,4265,73652,"human rights • civil rights • social justice • disability justice • disability rights • patient advocate • consultant. godmother, sister, auntie."
1256600336703336449,2020-05-02 15:04:01,RT @thedevman1: Leaked Western intel dossier reveals how China deceived the world about #COVID A “dossier?” MING WOW!  Only this time it’s…,Buddy dawgmadd Wise ⭐⭐⭐,dawg_lb,WE THE PEOPLE NATION,738153522277945344,30231,24940,75627,"Constitution/1A/2A, Military/Vets, Economic Growth/Fair Trade,#CCOT, #Trump2020, #TrumpKAG2020, #TrumpMAGA2020,#SecureBorders, LIST=BLOCK RT NOT ENDORSEMENT"
1256600331099631616,2020-05-02 15:04:00,A world without traffic- how can we sustain it?  #greencities #covid https://t.co/JWJezCxeRD,Gloria Venczel,cityscapedesign,"North Vancouver, B C",469798877,410,643,578,"Trained as architect, registered as planner. Walkable urban design/city planning consultant. Thought Leader, RAIC + CNV's Built City Speaker Series."
1256600320076963842,2020-05-02 15:03:57,RT @nicquemarina: Check on all your anxiety-ridden friends.... we're all fighting the urge to get a DIY pixie cut right now 🤣🤣🤣😭😭😭 #Quarant…,Liz Zamburg,PreciousOtaku1,Los Angeles CA,487204196,440,1520,13330,"Hey, just a fellow 23 y/o part time student going for 3 AA's. I consider myself an artistic otaku working with webtoons next yr. Also the owner of Zamburg Arts."
1256600311206080515,2020-05-02 15:03:55,RT @ArthurCaplan: #funerals in #covid era. Hearses lined up-got 30 minutes for the whole thing. 8 people allowed. Say goodbye to body at ba…,Wayne Koberstein,WayneKoberstein,,586751692,1133,179,6277,Writer. Own my opinions.
1256600299139207169,2020-05-02 15:03:52,@Yona02069 @nellobando @DavidNdii You know in meru kama haujalala kwa mtaro after kukunywa hiyo si pombe.. a crate… https://t.co/lKUgnkdyMj,William K. Eliphas,EliphasWilliam,"Middle River, MD",3383625953,2262,3050,5149,"Information analyst,professional librarian,writer and arsenal fc supporter.proud Amerucan,Baite inside. https://t.co/r9FKWhJ1qb God is my only Love"
1256600298531020801,2020-05-02 15:03:52,"RT @Wyn1745: WOW! WTF? CDC #COVID19 Death Revision&gt; 37,308 as of May 1st, 2020. The whole Freaking #COVID thing is a Joke! They [Dems, #Chi…",❌Lang-A-Tang❌🏴‍☠️🇺🇸,LangATang76,United States,798904956157825024,4712,5119,38770,"#MAGA #codeofvets #MAGAveteran #WWG1WGA Lineman,  former CE1(EXW/SCW)  CRS8 (THE OCHO) Husband, father and deplorable Merican Patriot!!! Hoorah! PRO TRUMP!!!!!"
1256600296001658880,2020-05-02 15:03:51,"RT @AlexBerenson: Fun fact from the @cdcgpv surveillance data: of 4,000 #COVID hospitalizations for which they provide detailed age data, 2…",GITMO.News,GitmoNews,,1091402132035497984,1471,2768,33935,Make America Great Again Q
